username, created_at, lng, lat, text
ItsTheBoat, Thu Apr 30 07:00:58 +0000 2020, -83.804475, 27.698682, @AtAngelica90 She’s gonna be made we are awaking her up from an extended nap 
briacooper_, Thu Apr 30 07:00:59 +0000 2020, -119.782465, 36.786042, @aninick4n6 literally 
NurseOnTheRight, Thu Apr 30 07:00:58 +0000 2020, -115.223125, 36.232915, @callmemoonkid https://t.co/yYjZ2iUuP0 
_proverbs31__, Thu Apr 30 07:00:58 +0000 2020, -119.306608, 37.269176, Cheese factory for the win tonight! 😛 #LateNightbite  #QuarantineLife https://t.co/LeDRsU4tHq 
ryanballis22, Thu Apr 30 07:00:59 +0000 2020, -110.892878, 32.302931, @zachbruhl It’s all in the hips 
youadoremiaaa, Thu Apr 30 07:00:59 +0000 2020, -83.344830, 42.607537, @JaneeWiseman_ Ok bet! 
_nebadass, Thu Apr 30 07:00:59 +0000 2020, -89.864704, 30.779717, @toots4short__ Me too , deflee need that hammond trip 
2nuff4u, Thu Apr 30 07:00:59 +0000 2020, -82.368322, 27.998056, 🤔 
Anna17245759, Thu Apr 30 07:01:00 +0000 2020, -85.253692, 34.015725, Folks not cut right and it shows , ol’ pussy ahh 
LSunset23, Thu Apr 30 07:00:58 +0000 2020, -118.125196, 34.583629, Y’all when is @Crysanthinum gonna stream acnh again I’m waiting.🥺🦋💜 
baaaarbieee, Thu Apr 30 07:01:00 +0000 2020, -121.469664, 38.561722, @ze_rose Whaaaat! Porqué? I hit up la superior from time to time to grab some. 
Ms_Oklahoma, Thu Apr 30 07:01:00 +0000 2020, -98.716992, 35.309047, When I was in 8th grade, we had a day long lockdown bc there was a convict running around Tecumseh, and my English… https://t.co/0GbSPFr5zb 
Faaaatmaaaah, Thu Apr 30 07:01:00 +0000 2020, -98.319925, 38.498196, ويع ليش چذي وايد أفكر😑 
KevinClamato, Thu Apr 30 07:01:00 +0000 2020, -73.968542, 40.780709, @AdvocateWriter @NBCNews Barbaric? 🤦🏻‍♂️ We’ll be at 100,000 #COVID19 deaths in the a#USA by May 18th. Sooner now t… https://t.co/EbLEOKsSlI 
A_AMillzz, Thu Apr 30 07:01:00 +0000 2020, -90.011008, 29.982601, @iluv_WILLOW ohhh fck noo! 😕 
__Santiiii__, Thu Apr 30 07:01:00 +0000 2020, -118.006657, 33.852736, Send me y’alls skin care 
SevereSociety, Thu Apr 30 07:01:00 +0000 2020, -117.022695, 38.502147, @TasteOfCountry I'd be okay if they had instant testing at the same time as the metal detector and handbag search.… https://t.co/r7hwymxMFS 
ohshiiieeet, Thu Apr 30 07:00:58 +0000 2020, -122.435979, 37.770657, @tpwkfaIIing you’re good 
kiejahd, Thu Apr 30 07:01:00 +0000 2020, -78.387404, 35.780479, @NBCNews See, I feel this was an overreaction.So he watches porn. It's not like he was playing audio in class as background music. 😳 
lg_royal, Thu Apr 30 07:01:00 +0000 2020, -122.228685, 37.791994, @_blackisgold_ @kaislocs @asap6ixx No explanation 🙅🏾‍♂️🤮🤢🚫it’s not rite 😂 
anekohh, Thu Apr 30 07:01:00 +0000 2020, -91.188692, 32.405961, blue 
PaperstacksHit, Thu Apr 30 07:01:00 +0000 2020, -84.314792, 33.706392, You coulda said this when everyone was awake 
PanchoCordova5, Thu Apr 30 07:01:00 +0000 2020, -111.498181, 28.969863, ¡Listón! 
DeezyBlancoo, Thu Apr 30 07:01:00 +0000 2020, -93.809434, 32.461107, @JayyDior5 you the top ? 
